stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
7,St Joseph Catholic Church, Unit @,41.713089,-83.70304,,,,,,0
9,Park Station, Unit @ & Madison Ave,41.652428,-83.538067,,,,,,0
25,Centennial Terrace,,41.716015,-83.743987,,,,,,0
27,Franklin Park,ROYER RD & MONROE ST,41.694349,-83.637197,,,,,,0
28,Miracle Mile, Unit @,41.706095,-83.58682,,,,,,0
30,Bennett & Eleanor, Unit @ & Eleanor Ave,41.700115,-83.556236,,,,,,0
40,UTMC Campus,3000 Unit @ & TRANSVERSE DR,41.617731,-83.618836,,,,,,0
44,Notre Dame Academy, Unit @ & Harvest Ln,41.691423,-83.629721,,,,,,0
46,Emmanuel Christian School, Unit @ & Paddington Dr,41.705028,-83.65142,,,,,,0
77,UT Transit Center,1554 Towerview S,41.654458,-83.614596,,,,,,0
90,Holland Sylvania Walmart,,41.674756,-83.682148,,,,,,0
98,Perry Station, Unit @ & N Saint Clair St,41.65025,-83.53613,,,,,,0
116,Central Meijer, Unit @ & Meijer Dr,41.676167,-83.71659,,,,,,0
120,Maumee Meijer,1391 UNNAMED ST,41.57864,-83.664297,,,,,,0
146,Cardinal Stritch,Pickle Rd & Munding Dr,41.629566,-83.477715,,,,,,0
151,E Broadway Grade School,1755 Unit @,41.619529,-83.513782,,,,,,0
161,SeaGate Station,,41.653372,-83.532357,,,,,,0
172,Alexis Meijer,,41.722014,-83.511061,,,,,,0
175,St John the Baptist Catholic School,2729 124th St,41.716496,-83.480607,,,,,,0
180,SeaGate Station,,41.653527,-83.532647,,,,,,0
191,Southwyck,5237 Southwyck Blvd,41.600451,-83.666263,,,,,,0
215,Start High School, Unit @ & Coolidge Pkwy,41.698372,-83.590841,,,,,,0
219,Central Catholic School,2550 Cherry St,41.672685,-83.545221,,,,,,0
227,Toledo Technology Academy,3301 Upton Ave,41.682565,-83.58931,,,,,,0
251,ProMedica Pkwy & Christie, Unit @ & Christie Dr,41.673386,-83.594307,,,,,,0
253,Central & Valleyview, Unit @ & Valley View Dr,41.676964,-83.657211,,,,,,0
255,Central & Exmoor, Unit @ & Exmoor,41.676792,-83.664398,,,,,,0
258,Ottawa Hills Schools,INDIAN RD & ASHBORNE PL,41.666833,-83.630401,,,,,,0
302,Trinity Lutheran School, Unit @,41.608652,-83.649587,,,,,,0
306,Bowsher High School, Unit @ & Arlington Ave,41.623942,-83.59738,,,,,,0
308,Southland,3428 GLENDALE AVE & N ST CLAIR ST,41.613246,-83.623964,,,,,,0
317,Toledo Christian School, Unit @ & Brookford Dr,41.599976,-83.601371,,,,,,0
343,Scott High School,2400 Collingwood Blvd,41.668469,-83.555163,,,,,,0
362,Woodward High School, Unit @ & E CENTRAL AVE,41.679004,-83.527854,,,,,,0
371,Alexis & Enterprise SE,1180 E Alexis Rd,41.722722,-83.518043,,,,,,0
374,Government Station, Unit @ & N Huron St,41.654856,-83.535529,,,,,,0
398,Waite High School, Unit @ & 4TH ST,41.648681,-83.518997,,,,,,0
433,OLPH Grade School, Unit @ & Sherwood Ave,41.602793,-83.599192,,,,,,0
434,St Patrick of Heatherdowns School, Unit @ & Eastgate Rd,41.594198,-83.643935,,,,,,0
479,3rd & Farnsworth, Unit @ & N 3rd St,41.499411,-83.720194,,,,,,0
480,Waterville Kroger,PRAY BLVD & WATERVILLE SWANTON RD,41.50845,-83.747823,,,,,,0
484,St Lukes Hospital,UNNAMED ST,41.558551,-83.681085,,,,,,0
535,Bancroft & Whitehall, Unit @ & Whitehall Rd,41.662163,-83.632423,,,,,,0
565,St Francis High School,2323 W Bancroft St,41.663196,-83.598513,,,,,,0
567,St Ursula Academy,4025 Indian Rd,41.67111,-83.639306,,,,,,0
577,Lourdes University, Unit @ & HAMILTON ST,41.709107,-83.706527,,,,,,0
602,Hollywood Casino,UNNAMED ST & RALSTON CIR,41.620655,-83.546469,,,,,,0
618,Hill Ave Lott Industries,3350 Unit @,41.638543,-83.62176,,,,,,0
646,Airport & Holland Sylvania,S HOLLAND SYLVANIA RD & AIRPORT HWY,41.613715,-83.684162,,,,,,0
649,Dorr & Reynolds,5200 N REYNOLDS RD & DORR ST,41.653364,-83.664858,,,,,,0
656,Adams & 18th NE,ADAMS ST & 18TH ST,41.658382,-83.545689,,,,,,0
658,Madison & 10th,Madison Ave & N Michigan St,41.654067,-83.540534,,,,,,0
740,Toledo Zoo,2700 BROADWAY ST & UNNAMED ST,41.617375,-83.579665,,,,,,0
741,Flower Hospital,5220 HARROUN RD & UNNAMED ST,41.707369,-83.693003,,,,,,0
764,108th & 290th NE,108TH ST & 290TH ST,41.708462,-83.485913,,,,,,0
765,108th & 294th NE,108TH ST & 294TH ST,41.708163,-83.483124,,,,,,0
766,108th & 294th SW,108TH ST & 290TH ST,41.708151,-83.48345,,,,,,0
767,108th & 298th NE,108TH ST & 298TH ST,41.707941,-83.481104,,,,,,0
768,108th & 298th NW,108TH ST & 298TH ST,41.707979,-83.481558,,,,,,0
769,108th & Summit,108TH ST & N SUMMIT ST,41.707709,-83.479233,,,,,,0
